icd10_code,icd10_title,icd11_code,icd11_title,foundation_uri,linearization_uri
R87.5,Abnormal findings in specimens from female genital organs : abnormal microbiological findings,MF65,Abnormal microbiological findings in specimens from female genital organs,http://id.who.int/icd/entity/954415029,http://id.who.int/icd/release/11/2022-02/mms/954415029
R87.6,Abnormal findings in specimens from female genital organs : abnormal cytological findings,MF66.Z,"Abnormal cytological findings in specimens from female genital organs, unspecified",http://id.who.int/icd/entity/1280206666,http://id.who.int/icd/release/11/2022-02/mms/1280206666/unspecified
R87.7,Abnormal findings in specimens from female genital organs : abnormal histological findings,MF67,Abnormal histological findings in specimens from female genital organs,http://id.who.int/icd/entity/688237280,http://id.who.int/icd/release/11/2022-02/mms/688237280
R87.8,Abnormal findings in specimens from female genital organs : other abnormal findings,MF6Z,"Clinical findings in specimens from female genital organs, unspecified",http://id.who.int/icd/entity/1165602961,http://id.who.int/icd/release/11/2022-02/mms/1165602961/unspecified
R87.9,Abnormal findings in specimens from female genital organs : unspecified abnormal finding,MF6Z,"Clinical findings in specimens from female genital organs, unspecified",http://id.who.int/icd/entity/1165602961,http://id.who.int/icd/release/11/2022-02/mms/1165602961/unspecified
R89,"Abnormal findings in specimens from other organs, systems and tissues",,"Clinical findings in specimens from other specified organs, systems and tissues",http://id.who.int/icd/entity/1566271559,http://id.who.int/icd/release/11/2022-02/mms/1566271559
R89.0,"Abnormal findings in specimens from other organs, systems and tissues : abnormal level of enzymes",MG60,"Abnormal level of enzymes in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/144122487,http://id.who.int/icd/release/11/2022-02/mms/144122487
R89.1,"Abnormal findings in specimens from other organs, systems and tissues : abnormal level of hormones",MG61,"Abnormal level of hormones in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/1843195875,http://id.who.int/icd/release/11/2022-02/mms/1843195875
R89.2,"Abnormal findings in specimens from other organs, systems and tissues : abnormal level of other drugs, medicaments and biological substances",MG62,"Abnormal level of drugs, medicaments and biological substances in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/426884892,http://id.who.int/icd/release/11/2022-02/mms/426884892
R89.3,"Abnormal findings in specimens from other organs, systems and tissues : abnormal level of substances chiefly nonmedicinal as to source",MG63,"Abnormal level of substances chiefly nonmedicinal as to source in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/2084205194,http://id.who.int/icd/release/11/2022-02/mms/2084205194
R89.4,"Abnormal findings in specimens from other organs, systems and tissues : abnormal immunological findings",MG64,"Abnormal immunological findings in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/265609502,http://id.who.int/icd/release/11/2022-02/mms/265609502
R89.5,"Abnormal findings in specimens from other organs, systems and tissues : abnormal microbiological findings",MG65,"Abnormal microbiological findings in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/1788816520,http://id.who.int/icd/release/11/2022-02/mms/1788816520
R89.6,"Abnormal findings in specimens from other organs, systems and tissues : abnormal cytological findings",MG66,"Abnormal cytological findings in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/506625143,http://id.who.int/icd/release/11/2022-02/mms/506625143
R89.7,"Abnormal findings in specimens from other organs, systems and tissues : abnormal histological findings",MG67,"Abnormal histological findings in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/2071572963,http://id.who.int/icd/release/11/2022-02/mms/2071572963
R89.8,"Abnormal findings in specimens from other organs, systems and tissues : other abnormal findings",,"Clinical findings in specimens from other specified organs, systems and tissues",http://id.who.int/icd/entity/1566271559,http://id.who.int/icd/release/11/2022-02/mms/1566271559
R89.9,"Abnormal findings in specimens from other organs, systems and tissues : unspecified abnormal finding",,"Clinical findings in specimens from other specified organs, systems and tissues",http://id.who.int/icd/entity/1566271559,http://id.who.int/icd/release/11/2022-02/mms/1566271559
R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",21,"Symptoms, signs or clinical findings, not elsewhere classified",http://id.who.int/icd/entity/1843895818,http://id.who.int/icd/release/11/2022-02/mms/1843895818
R90,Abnormal findings on diagnostic imaging of central nervous system,MB71.Z,"Clinical findings on diagnostic imaging of central nervous system, unspecified",http://id.who.int/icd/entity/1632791324,http://id.who.int/icd/release/11/2022-02/mms/1632791324/unspecified
R90.0,Intracranial space-occupying lesion,MB71.0,Intracranial space-occupying lesion,http://id.who.int/icd/entity/1904765755,http://id.who.int/icd/release/11/2022-02/mms/1904765755
R90.8,Other abnormal findings on diagnostic imaging of central nervous system,MB71.Z,"Clinical findings on diagnostic imaging of central nervous system, unspecified",http://id.who.int/icd/entity/1632791324,http://id.who.int/icd/release/11/2022-02/mms/1632791324/unspecified
R91,Abnormal findings on diagnostic imaging of lung,MD41,Clinical findings on diagnostic imaging of lung,http://id.who.int/icd/entity/68789898,http://id.who.int/icd/release/11/2022-02/mms/68789898
R92,Abnormal findings on diagnostic imaging of breast,MG00,Clinical findings on diagnostic imaging of breast,http://id.who.int/icd/entity/1890907767,http://id.who.int/icd/release/11/2022-02/mms/1890907767
R93,Abnormal findings on diagnostic imaging of other body structures,21,"Symptoms, signs or clinical findings, not elsewhere classified",http://id.who.int/icd/entity/1843895818,http://id.who.int/icd/release/11/2022-02/mms/1843895818
R93.0,"Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified",ME90,Clinical findings on diagnostic imaging of skull and head,http://id.who.int/icd/entity/1880083205,http://id.who.int/icd/release/11/2022-02/mms/1880083205
R93.1,Abnormal findings on diagnostic imaging of heart and coronary circulation,MC90,Clinical findings on diagnostic imaging of heart or coronary circulation,http://id.who.int/icd/entity/356779665,http://id.who.int/icd/release/11/2022-02/mms/356779665
R93.2,Abnormal findings on diagnostic imaging of liver and biliary tract,ME21,Clinical findings on diagnostic imaging of liver or biliary tract,http://id.who.int/icd/entity/1642681966,http://id.who.int/icd/release/11/2022-02/mms/1642681966
R93.3,Abnormal findings on diagnostic imaging of other parts of digestive tract,ME22,Clinical findings on diagnostic imaging of digestive tract,http://id.who.int/icd/entity/77765628,http://id.who.int/icd/release/11/2022-02/mms/77765628
R93.4,Abnormal findings on diagnostic imaging of urinary organs,MG01,Clinical findings on diagnostic imaging of urinary organs,http://id.who.int/icd/entity/2001471600,http://id.who.int/icd/release/11/2022-02/mms/2001471600
R93.5,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",,Clinical findings in the digestive system,http://id.who.int/icd/entity/302499322,http://id.who.int/icd/release/11/2022-02/mms/782258967
R93.6,Abnormal findings on diagnostic imaging of limbs,ME91,Clinical findings on diagnostic imaging of limbs,http://id.who.int/icd/entity/1722455301,http://id.who.int/icd/release/11/2022-02/mms/1722455301
R93.7,Abnormal findings on diagnostic imaging of other parts of musculoskeletal system,ME92.Z,"Clinical findings on diagnostic imaging of other parts of musculoskeletal system, unspecified",http://id.who.int/icd/entity/65099921,http://id.who.int/icd/release/11/2022-02/mms/65099921/unspecified
R93.8,Abnormal findings on diagnostic imaging of other specified body structures,,"General symptoms, signs or clinical findings",http://id.who.int/icd/entity/509543139,http://id.who.int/icd/release/11/2022-02/mms/509543139
R94,Abnormal results of function studies,21,"Symptoms, signs or clinical findings, not elsewhere classified",http://id.who.int/icd/entity/1843895818,http://id.who.int/icd/release/11/2022-02/mms/1843895818
R94.0,Abnormal results of function studies of central nervous system,MB72,Results of function studies of the nervous system,http://id.who.int/icd/entity/1266072133,http://id.who.int/icd/release/11/2022-02/mms/449566259
R94.1,Abnormal results of function studies of peripheral nervous system and special senses,MC21.Z,"Impairment of electrophysiological functions, unspecified",http://id.who.int/icd/entity/893837861,http://id.who.int/icd/release/11/2022-02/mms/893837861/unspecified
R94.2,Abnormal results of pulmonary function studies,MD42,Results of function studies of the respiratory system,http://id.who.int/icd/entity/1519396656,http://id.who.int/icd/release/11/2022-02/mms/1095887296
R94.3,Abnormal results of cardiovascular function studies,MC91,Results of function studies of the circulatory system,http://id.who.int/icd/entity/1071377082,http://id.who.int/icd/release/11/2022-02/mms/1071377082
R94.4,Abnormal results of kidney function studies,MG02,Results of kidney function studies,http://id.who.int/icd/entity/1278572846,http://id.who.int/icd/release/11/2022-02/mms/1278572846
R94.5,Abnormal results of liver function studies,ME23,Results of function studies of the digestive system,http://id.who.int/icd/entity/696169660,http://id.who.int/icd/release/11/2022-02/mms/1908781638
R94.6,Abnormal results of thyroid function studies,MA50,Abnormal results of thyroid function studies,http://id.who.int/icd/entity/1574167621,http://id.who.int/icd/release/11/2022-02/mms/1574167621
R94.7,Abnormal results of other endocrine function studies,MA51,Abnormal results of other endocrine function studies,http://id.who.int/icd/entity/949496273,http://id.who.int/icd/release/11/2022-02/mms/949496273
R94.8,Abnormal results of function studies of other organs and systems,MG72,Abnormal results of function studies of other organs and systems,http://id.who.int/icd/entity/1173437587,http://id.who.int/icd/release/11/2022-02/mms/1173437587
R95-R99,Ill-defined and unknown causes of mortality,,Ill-defined and unknown causes of mortality,http://id.who.int/icd/entity/1452443292,http://id.who.int/icd/release/11/2022-02/mms/1452443292
R95,Sudden infant death syndrome,MH11.Z,"Sudden infant death syndrome, unspecified",http://id.who.int/icd/entity/56255971,http://id.who.int/icd/release/11/2022-02/mms/56255971/unspecified
R95.0,Sudden infant death syndrome with mention of autopsy,MH11.0,Sudden infant death syndrome with mention of autopsy,http://id.who.int/icd/entity/1908408156,http://id.who.int/icd/release/11/2022-02/mms/1908408156
R95.9,Sudden infant death syndrome without mention of autopsy,MH11.1,Sudden infant death syndrome without autopsy,http://id.who.int/icd/entity/1729798490,http://id.who.int/icd/release/11/2022-02/mms/1729798490
R96,"Other sudden death, cause unknown",MH12,"Other sudden death, cause unknown",http://id.who.int/icd/entity/2012689694,http://id.who.int/icd/release/11/2022-02/mms/2012689694
R96.0,Instantaneous death,MH12.0,Instantaneous death,http://id.who.int/icd/entity/1443484410,http://id.who.int/icd/release/11/2022-02/mms/1443484410
R96.1,"Death occurring less than 24 hours from onset of symptoms, not otherwise explained",MH12.1,"Death occurring less than 24 hours from onset of symptoms, not otherwise explained",http://id.who.int/icd/entity/859971440,http://id.who.int/icd/release/11/2022-02/mms/859971440
R98,Unattended death,MH13,Unattended death,http://id.who.int/icd/entity/1876291018,http://id.who.int/icd/release/11/2022-02/mms/1876291018
R99,Other ill-defined and unspecified causes of mortality,MH14,Other ill-defined and unspecified causes of mortality,http://id.who.int/icd/entity/178135136,http://id.who.int/icd/release/11/2022-02/mms/178135136
XIX,"Injury, poisoning and certain other consequences of external causes",NF2Z,"Unspecified injury, poisoning or certain other consequences of external causes",http://id.who.int/icd/entity/435227771,http://id.who.int/icd/release/11/2022-02/mms/435227771/unspecified
S00-S09,Injuries to the head,NA0Z,"Injuries to the head, unspecified",http://id.who.int/icd/entity/452386362,http://id.who.int/icd/release/11/2022-02/mms/452386362/unspecified
S00,Superficial injury of head,NA00.Z,Superficial injury of unspecified part of head,http://id.who.int/icd/entity/103374449,http://id.who.int/icd/release/11/2022-02/mms/103374449/unspecified
S00.0,Superficial injury of scalp,NA00.0Z,"Superficial injury of scalp, type unspecified",http://id.who.int/icd/entity/2055653544,http://id.who.int/icd/release/11/2022-02/mms/2055653544/unspecified
S00.1,Contusion of eyelid and periocular area,NA00.11,Contusion of eyelid or periocular area,http://id.who.int/icd/entity/533529906,http://id.who.int/icd/release/11/2022-02/mms/533529906
S00.2,Other superficial injuries of eyelid and periocular area,NA00.1Z,"Superficial injury of eyelid or periocular area, unspecified",http://id.who.int/icd/entity/1801475533,http://id.who.int/icd/release/11/2022-02/mms/672745559/unspecified
S00.3,Superficial injury of nose,NA00.3,Superficial injury of nose,http://id.who.int/icd/entity/237738073,http://id.who.int/icd/release/11/2022-02/mms/237738073
S00.4,Superficial injury of ear,NA00.2,Superficial injury of ear,http://id.who.int/icd/entity/2110065613,http://id.who.int/icd/release/11/2022-02/mms/2110065613
S00.5,Superficial injury of lip and oral cavity,NA00.4,Superficial injury of lip or oral cavity,http://id.who.int/icd/entity/412010073,http://id.who.int/icd/release/11/2022-02/mms/412010073
S00.7,Multiple superficial injuries of head,NA00.5,Multiple superficial injuries of head,http://id.who.int/icd/entity/157834036,http://id.who.int/icd/release/11/2022-02/mms/157834036
S00.8,Superficial injury of other parts of head,NA00.Z,Superficial injury of unspecified part of head,http://id.who.int/icd/entity/103374449,http://id.who.int/icd/release/11/2022-02/mms/103374449/unspecified
S00.9,"Superficial injury of head, part unspecified",NA00.Z,Superficial injury of unspecified part of head,http://id.who.int/icd/entity/103374449,http://id.who.int/icd/release/11/2022-02/mms/103374449/unspecified
S01,Open wound of head,NA01.Z,"Open wound of head, unspecified",http://id.who.int/icd/entity/1667404773,http://id.who.int/icd/release/11/2022-02/mms/1667404773/unspecified
S01.0,Open wound of scalp,NA01.Z,"Open wound of head, unspecified",http://id.who.int/icd/entity/1719533607,http://id.who.int/icd/release/11/2022-02/mms/1667404773/unspecified
S01.1,Open wound of eyelid and periocular area,NA06.04,Open wound of eyelid or periocular area,http://id.who.int/icd/entity/53857715,http://id.who.int/icd/release/11/2022-02/mms/53857715
S01.2,Open wound of nose,NA01.Z&XA3H13,"Open wound of head, unspecified / Nose",http://id.who.int/icd/entity/2006490446,http://id.who.int/icd/release/11/2022-02/mms/1667404773/unspecified
S01.3,Open wound of ear,NA01.Z&XA6ZY6,"Open wound of head, unspecified / External Ear",http://id.who.int/icd/entity/315838680,http://id.who.int/icd/release/11/2022-02/mms/1667404773/unspecified
S01.4,Open wound of cheek and temporomandibular area,NA01.Z&XA86S4,"Open wound of head, unspecified / Face",http://id.who.int/icd/entity/1631437644,http://id.who.int/icd/release/11/2022-02/mms/1667404773/unspecified
S01.5,Open wound of lip and oral cavity,NA01.Z&XA1WN1,"Open wound of head, unspecified / Oral cavity",http://id.who.int/icd/entity/74845914,http://id.who.int/icd/release/11/2022-02/mms/1667404773/unspecified
S01.7,Multiple open wounds of head,NA01.7,Multiple open wounds of head,http://id.who.int/icd/entity/361796531,http://id.who.int/icd/release/11/2022-02/mms/361796531
S01.8,Open wound of other parts of head,NA01.Z,"Open wound of head, unspecified",http://id.who.int/icd/entity/1761183473,http://id.who.int/icd/release/11/2022-02/mms/1667404773/unspecified
S01.9,"Open wound of head, part unspecified",NA01.Z,"Open wound of head, unspecified",http://id.who.int/icd/entity/1667404773,http://id.who.int/icd/release/11/2022-02/mms/1667404773/unspecified
S02,Fracture of skull and facial bones,NA02.Z,"Fracture of skull and facial bones, part unspecified",http://id.who.int/icd/entity/399491868,http://id.who.int/icd/release/11/2022-02/mms/399491868/unspecified
S02.0,Fracture of vault of skull,NA02.0,Fracture of vault of skull,http://id.who.int/icd/entity/1744412697,http://id.who.int/icd/release/11/2022-02/mms/1744412697
S02.1,Fracture of base of skull,NA02.1Z,"Fracture of base of skull, unspecified",http://id.who.int/icd/entity/45247885,http://id.who.int/icd/release/11/2022-02/mms/45247885/unspecified
S02.2,Fracture of nasal bones,NA02.3,Fracture of nasal bones,http://id.who.int/icd/entity/1981758834,http://id.who.int/icd/release/11/2022-02/mms/1981758834
S02.3,Fracture of orbital floor,NA02.21,Fracture of orbital floor,http://id.who.int/icd/entity/324333800,http://id.who.int/icd/release/11/2022-02/mms/324333800
S02.4,Fracture of malar and maxillary bones,NA02.4Z,"Fracture of maxilla, unspecified",http://id.who.int/icd/entity/1622827892,http://id.who.int/icd/release/11/2022-02/mms/1622827892/unspecified
S02.5,Fracture of tooth,NA02.Z,"Fracture of skull and facial bones, part unspecified",http://id.who.int/icd/entity/399491868,http://id.who.int/icd/release/11/2022-02/mms/399491868/unspecified
S02.6,Fracture of mandible,NA02.7Z,"Fracture of mandible, unspecified",http://id.who.int/icd/entity/1901919769,http://id.who.int/icd/release/11/2022-02/mms/1901919769/unspecified
S02.7,Multiple fractures involving skull and facial bones,NA02.8,Multiple fractures involving skull or facial bones,http://id.who.int/icd/entity/337064845,http://id.who.int/icd/release/11/2022-02/mms/337064845
S02.8,Fractures of other skull and facial bones,NA02.Z,"Fracture of skull and facial bones, part unspecified",http://id.who.int/icd/entity/399491868,http://id.who.int/icd/release/11/2022-02/mms/399491868/unspecified
S02.9,"Fracture of skull and facial bones, part unspecified",NA02.Z,"Fracture of skull and facial bones, part unspecified",http://id.who.int/icd/entity/399491868,http://id.who.int/icd/release/11/2022-02/mms/399491868/unspecified
S03,"Dislocation, sprain and strain of joints and ligaments of head",NA03.Z,"Dislocation or strain or sprain of joints or ligaments of head, unspecified",http://id.who.int/icd/entity/1921257102,http://id.who.int/icd/release/11/2022-02/mms/1921257102/unspecified
S03.0,Dislocation of jaw,NA03.0,Dislocation of jaw,http://id.who.int/icd/entity/2063689880,http://id.who.int/icd/release/11/2022-02/mms/2063689880
S03.1,Dislocation of septal cartilage of nose,NA03.1,Dislocation of septal cartilage of nose,http://id.who.int/icd/entity/508208398,http://id.who.int/icd/release/11/2022-02/mms/508208398
S03.2,Dislocation of tooth,NA03.Z,"Dislocation or strain or sprain of joints or ligaments of head, unspecified",http://id.who.int/icd/entity/1921257102,http://id.who.int/icd/release/11/2022-02/mms/1921257102/unspecified
S03.3,Dislocation of other and unspecified parts of head,NA03.Z,"Dislocation or strain or sprain of joints or ligaments of head, unspecified",http://id.who.int/icd/entity/1921257102,http://id.who.int/icd/release/11/2022-02/mms/1921257102/unspecified
S03.4,Sprain and strain of jaw,NA03.3,Strain or sprain of jaw,http://id.who.int/icd/entity/2084744179,http://id.who.int/icd/release/11/2022-02/mms/2084744179
S03.5,Sprain and strain of joints and ligaments of other and unspecified parts of head,NA03.Z,"Dislocation or strain or sprain of joints or ligaments of head, unspecified",http://id.who.int/icd/entity/1921257102,http://id.who.int/icd/release/11/2022-02/mms/1921257102/unspecified
S04,Injury of cranial nerves,NA04.Z,"Injury of cranial nerves, unspecified",http://id.who.int/icd/entity/23764250,http://id.who.int/icd/release/11/2022-02/mms/23764250/unspecified
S04.0,Injury of optic nerve and pathways,NA04.1Z,"Injury of optic nerve or pathways, unspecified",http://id.who.int/icd/entity/1081612762,http://id.who.int/icd/release/11/2022-02/mms/1081612762/unspecified
S04.1,Injury of oculomotor nerve,NA04.2,Injury of oculomotor nerve,http://id.who.int/icd/entity/624153676,http://id.who.int/icd/release/11/2022-02/mms/624153676
S04.2,Injury of trochlear nerve,NA04.3,Injury of trochlear nerve,http://id.who.int/icd/entity/1369343155,http://id.who.int/icd/release/11/2022-02/mms/1369343155
S04.3,Injury of trigeminal nerve,NA04.4,Injury of trigeminal nerve,http://id.who.int/icd/entity/886393127,http://id.who.int/icd/release/11/2022-02/mms/886393127
S04.4,Injury of abducent nerve,NA04.5,Injury of abducent nerve,http://id.who.int/icd/entity/1195104947,http://id.who.int/icd/release/11/2022-02/mms/1195104947
S04.5,Injury of facial nerve,NA04.6,Injury of facial nerve,http://id.who.int/icd/entity/577771303,http://id.who.int/icd/release/11/2022-02/mms/577771303
S04.6,Injury of acoustic nerve,NA04.7,Injury of acoustic nerve,http://id.who.int/icd/entity/1457342424,http://id.who.int/icd/release/11/2022-02/mms/1457342424
S04.7,Injury of accessory nerve,NA04.A,Injury of accessory nerve,http://id.who.int/icd/entity/865503822,http://id.who.int/icd/release/11/2022-02/mms/865503822
S04.8,Injury of other cranial nerves,NA04.Z,"Injury of cranial nerves, unspecified",http://id.who.int/icd/entity/23764250,http://id.who.int/icd/release/11/2022-02/mms/23764250/unspecified
S04.9,Injury of unspecified cranial nerve,NA04.Z,"Injury of cranial nerves, unspecified",http://id.who.int/icd/entity/23764250,http://id.who.int/icd/release/11/2022-02/mms/23764250/unspecified
S05,Injury of eye and orbit,NA06.Z,"Injury of eye or orbit, unspecified",http://id.who.int/icd/entity/1679904912,http://id.who.int/icd/release/11/2022-02/mms/1679904912/unspecified
S05.0,Injury of conjunctiva and corneal abrasion without mention of foreign body,NA06.4,Injury of conjunctiva or corneal abrasion without mention of foreign body,http://id.who.int/icd/entity/1551946073,http://id.who.int/icd/release/11/2022-02/mms/1551946073
S05.1,Contusion of eyeball and orbital tissues,NA06.9,Contusion of eyeball or orbital tissues,http://id.who.int/icd/entity/969612493,http://id.who.int/icd/release/11/2022-02/mms/969612493
S05.2,Ocular laceration and rupture with prolapse or loss of intraocular tissue,NA06.87,"Ocular laceration or rupture with prolapse or loss of intraocular tissue, unilateral",http://id.who.int/icd/entity/1298549812,http://id.who.int/icd/release/11/2022-02/mms/1298549812
S05.3,Ocular laceration without prolapse or loss of intraocular tissue,NA06.8D,"Ocular laceration without prolapse or loss of intraocular tissue, unilateral",http://id.who.int/icd/entity/674070950,http://id.who.int/icd/release/11/2022-02/mms/674070950
S05.4,Penetrating wound of orbit with or without foreign body,NA06.1,Penetrating wound of orbit with or without foreign body,http://id.who.int/icd/entity/1539510834,http://id.who.int/icd/release/11/2022-02/mms/1539510834
S05.5,Penetrating wound of eyeball with foreign body,NA06.8Z,"Traumatic injury to eyeball, unspecified",http://id.who.int/icd/entity/1049157544,http://id.who.int/icd/release/11/2022-02/mms/1743180897/unspecified
S05.6,Penetrating wound of eyeball without foreign body,NA06.84,"Penetrating wound of eyeball without foreign body, unilateral",http://id.who.int/icd/entity/1243975513,http://id.who.int/icd/release/11/2022-02/mms/1243975513
S05.7,Avulsion of eye,NA06.85,"Avulsion of eye, unilateral",http://id.who.int/icd/entity/795755213,http://id.who.int/icd/release/11/2022-02/mms/795755213
S05.8,Other injuries of eye and orbit,NA06.Z,"Injury of eye or orbit, unspecified",http://id.who.int/icd/entity/1679904912,http://id.who.int/icd/release/11/2022-02/mms/1679904912/unspecified
S05.9,"Injury of eye and orbit, unspecified",NA06.Z,"Injury of eye or orbit, unspecified",http://id.who.int/icd/entity/1679904912,http://id.who.int/icd/release/11/2022-02/mms/1679904912/unspecified
S06,Intracranial injury,NA07.Z,"Intracranial injury, unspecified",http://id.who.int/icd/entity/277610609,http://id.who.int/icd/release/11/2022-02/mms/277610609/unspecified
S06.0,Concussion,NA07.0,Concussion,http://id.who.int/icd/entity/1560768871,http://id.who.int/icd/release/11/2022-02/mms/1560768871
S06.1,Traumatic cerebral oedema,NA07.2Z,"Traumatic cerebral oedema, unspecified",http://id.who.int/icd/entity/944553203,http://id.who.int/icd/release/11/2022-02/mms/944553203/unspecified
S06.2,Diffuse brain injury,NA07.3Z,Unspecified diffuse traumatic brain injury,http://id.who.int/icd/entity/699015578,http://id.who.int/icd/release/11/2022-02/mms/699015578/unspecified
S06.3,Focal brain injury,NA07.4Z,Unspecified focal traumatic brain injury,http://id.who.int/icd/entity/1818120156,http://id.who.int/icd/release/11/2022-02/mms/1818120156/unspecified
S06.4,Epidural haemorrhage,NA07.5,Traumatic epidural haemorrhage,http://id.who.int/icd/entity/1057980312,http://id.who.int/icd/release/11/2022-02/mms/1057980312
S06.5,Traumatic subdural haemorrhage,NA07.6,Traumatic subdural haemorrhage,http://id.who.int/icd/entity/1268920167,http://id.who.int/icd/release/11/2022-02/mms/1268920167
S06.6,Traumatic subarachnoid haemorrhage,NA07.7,Traumatic subarachnoid haemorrhage,http://id.who.int/icd/entity/787079923,http://id.who.int/icd/release/11/2022-02/mms/787079923
S06.7,Intracranial injury with prolonged coma,8E2Z,"Disorders of consciousness, unspecified",http://id.who.int/icd/entity/81068077,http://id.who.int/icd/release/11/2022-02/mms/81068077/unspecified
S06.8,Other intracranial injuries,NA07.Z,"Intracranial injury, unspecified",http://id.who.int/icd/entity/277610609,http://id.who.int/icd/release/11/2022-02/mms/277610609/unspecified
S06.9,"Intracranial injury, unspecified",NA07.Z,"Intracranial injury, unspecified",http://id.who.int/icd/entity/277610609,http://id.who.int/icd/release/11/2022-02/mms/277610609/unspecified
S07,Crushing injury of head,NA08.Z,"Crushing injury of head, unspecified",http://id.who.int/icd/entity/1976028645,http://id.who.int/icd/release/11/2022-02/mms/1976028645/unspecified
S07.0,Crushing injury of face,NA08.1,Crushing injury of face,http://id.who.int/icd/entity/1107278310,http://id.who.int/icd/release/11/2022-02/mms/1107278310
S07.1,Crushing injury of skull,NA08.2,Crushing injury of skull,http://id.who.int/icd/entity/615806068,http://id.who.int/icd/release/11/2022-02/mms/615806068
S07.8,Crushing injury of other parts of head,NA08.Z,"Crushing injury of head, unspecified",http://id.who.int/icd/entity/1976028645,http://id.who.int/icd/release/11/2022-02/mms/1976028645/unspecified
S07.9,"Crushing injury of head, part unspecified",NA08.Z,"Crushing injury of head, unspecified",http://id.who.int/icd/entity/1976028645,http://id.who.int/icd/release/11/2022-02/mms/1976028645/unspecified
S08,Traumatic amputation of part of head,NA09.Z,"Traumatic amputation of part of head, unspecified",http://id.who.int/icd/entity/145676455,http://id.who.int/icd/release/11/2022-02/mms/145676455/unspecified
S08.0,Avulsion of scalp,NA09.0,Avulsion of scalp,http://id.who.int/icd/entity/259746396,http://id.who.int/icd/release/11/2022-02/mms/259746396
S08.1,Traumatic amputation of ear,NA09.1Z,"Traumatic amputation of ear, unspecified",http://id.who.int/icd/entity/1781573582,http://id.who.int/icd/release/11/2022-02/mms/1781573582/unspecified
S08.8,Traumatic amputation of other parts of head,NA09.Z,"Traumatic amputation of part of head, unspecified",http://id.who.int/icd/entity/145676455,http://id.who.int/icd/release/11/2022-02/mms/145676455/unspecified
S08.9,Traumatic amputation of unspecified part of head,NA09.Z,"Traumatic amputation of part of head, unspecified",http://id.who.int/icd/entity/145676455,http://id.who.int/icd/release/11/2022-02/mms/145676455/unspecified
S09,Other and unspecified injuries of head,NA0A,Certain specified injuries of head,http://id.who.int/icd/entity/1843729715,http://id.who.int/icd/release/11/2022-02/mms/1843729715
S09.0,"Injury of blood vessels of head, not elsewhere classified",NA05.Z,"Injury of blood vessels of head, unspecified",http://id.who.int/icd/entity/237828591,http://id.who.int/icd/release/11/2022-02/mms/237828591/unspecified
S09.1,Injury of muscle and tendon of head,NA0A.1Z,"Injury of muscle, fascia or tendon of head, unspecified",http://id.who.int/icd/entity/1992847183,http://id.who.int/icd/release/11/2022-02/mms/1992847183/unspecified
S09.2,Traumatic rupture of ear drum,NA0A.2,Traumatic rupture of ear drum,http://id.who.int/icd/entity/40189874,http://id.who.int/icd/release/11/2022-02/mms/40189874
S09.7,Multiple injuries of head,NA0A.3,Multiple injuries of head,http://id.who.int/icd/entity/1617768783,http://id.who.int/icd/release/11/2022-02/mms/1617768783
S09.8,Other specified injuries of head,NA0A,Certain specified injuries of head,http://id.who.int/icd/entity/1843729715,http://id.who.int/icd/release/11/2022-02/mms/1843729715
S09.9,Unspecified injury of head,NA0A,Certain specified injuries of head,http://id.who.int/icd/entity/1843729715,http://id.who.int/icd/release/11/2022-02/mms/1843729715
S10-S19,Injuries to the neck,NA6Z,"Injuries to the neck, unspecified",http://id.who.int/icd/entity/1842013215,http://id.who.int/icd/release/11/2022-02/mms/1842013215/unspecified
S10,Superficial injury of neck,NA20.Z,"Superficial injury of neck, unspecified",http://id.who.int/icd/entity/1374426728,http://id.who.int/icd/release/11/2022-02/mms/1374426728/unspecified
S10.0,Contusion of throat,NA20.1,Contusion of throat,http://id.who.int/icd/entity/1788668823,http://id.who.int/icd/release/11/2022-02/mms/1788668823
S10.1,Other and unspecified superficial injuries of throat,NA20.2,Other or unspecified superficial injuries of throat,http://id.who.int/icd/entity/265758211,http://id.who.int/icd/release/11/2022-02/mms/265758211
S10.7,Multiple superficial injuries of neck,NA20.3,Multiple superficial injuries of neck,http://id.who.int/icd/entity/426932227,http://id.who.int/icd/release/11/2022-02/mms/426932227
S10.8,Superficial injury of other parts of neck,NA20.Z,"Superficial injury of neck, unspecified",http://id.who.int/icd/entity/1374426728,http://id.who.int/icd/release/11/2022-02/mms/1374426728/unspecified
S10.9,"Superficial injury of neck, part unspecified",NA20.Z,"Superficial injury of neck, unspecified",http://id.who.int/icd/entity/1374426728,http://id.who.int/icd/release/11/2022-02/mms/1374426728/unspecified
